"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura ";"Empregos Formais da Indústria ";"Empregos Formais da Construção ";"Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas ";"Empregos Formais dos Serviços ";"Participação dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura no Total de Empregos Formais (Em %)";"Participação dos Empregos Formais da Indústria no Total de Empregos Formais (Em %)";"Participação dos Empregos Formais da Construção no Total de Empregos Formais (Em %)";"Participação dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas no Total de Empregos Formais (Em %)";"Participação dos Empregos Formais dos Serviços no Total de Empregos Formais (Em %)";"Cód. IBGE"
"Caçapava";"2013";"22263";"358";"10119";"889";"3912";"6985";"1,61";"45,45";"3,99";"17,57";"31,37";3508504
"Caçapava";"2014";"22628";"322";"10101";"812";"4050";"7343";"1,42";"44,64";"3,59";"17,9";"32,45";3508504
"Caçapava";"2015";"22011";"404";"9187";"748";"4058";"7614";"1,84";"41,74";"3,4";"18,44";"34,59";3508504
"Caçapava";"2016";"21149";"358";"8535";"859";"4108";"7289";"1,69";"40,36";"4,06";"19,42";"34,46";3508504
"Caçapava";"2017";"21272";"350";"8193";"830";"4438";"7461";"1,65";"38,52";"3,9";"20,86";"35,07";3508504
"Igaratá";"2013";"1532";"118";"298";"209";"270";"637";"7,7";"19,45";"13,64";"17,62";"41,58";3520202
"Igaratá";"2014";"1522";"84";"350";"139";"285";"664";"5,52";"23";"9,13";"18,73";"43,63";3520202
"Igaratá";"2015";"1687";"118";"350";"161";"331";"727";"6,99";"20,75";"9,54";"19,62";"43,09";3520202
"Igaratá";"2016";"1560";"130";"328";"95";"329";"678";"8,33";"21,03";"6,09";"21,09";"43,46";3520202
"Igaratá";"2017";"1646";"130";"380";"69";"344";"723";"7,9";"23,09";"4,19";"20,9";"43,92";3520202
